"","Time","variable","value"
"1",-0.04950495,"0%(Control)",0
"2",0.891089109,"0%(Control)",0.803212851
"3",1.881188119,"0%(Control)",0.803212851
"4",3.01980198,"0%(Control)",0.803212851
"5",4.108910891,"0%(Control)",0.401606426
"6",5.099009901,"0%(Control)",4.016064257
"7",5.940594059,"0%(Control)",8.43373494
"8",7.128712871,"0%(Control)",18.47389558
"9",7.821782178,"0%(Control)",24.49799197
"10",8.762376238,"0%(Control)",33.73493976
"11",10,"0%(Control)",50.20080321
"12",11.13861386,"0%(Control)",57.02811245
"13",11.88118812,"0%(Control)",60.24096386
"14",13.11881188,"0%(Control)",65.46184739
"15",14.20792079,"0%(Control)",65.46184739
"16",14.75247525,"0%(Control)",66.26506024
"17",15.94059406,"0%(Control)",66.26506024
"18",17.07920792,"0%(Control)",67.46987952
"19",18.01980198,"0%(Control)",67.46987952
"20",-0.04950495,"1%",0.401606426
"21",0.891089109,"1%",0.401606426
"22",1.881188119,"1%",0.401606426
"23",3.01980198,"1%",0.803212851
"24",4.108910891,"1%",1.204819277
"25",5.099009901,"1%",7.228915663
"26",5.940594059,"1%",18.47389558
"27",7.128712871,"1%",21.68674699
"28",7.821782178,"1%",30.92369478
"29",8.762376238,"1%",35.74297189
"30",10,"1%",38.15261044
"31",11.13861386,"1%",39.35742972
"32",11.88118812,"1%",41.36546185
"33",13.11881188,"1%",42.97188755
"34",14.20792079,"1%",45.78313253
"35",14.75247525,"1%",46.98795181
"36",15.94059406,"1%",48.19277108
"37",17.07920792,"1%",48.99598394
"38",18.01980198,"1%",48.99598394
"39",-0.04950495,"5%",0
"40",0.891089109,"5%",1.204819277
"41",1.881188119,"5%",0
"42",3.01980198,"5%",6.425702811
"43",4.108910891,"5%",12.4497992
"44",5.099009901,"5%",23.69477912
"45",5.940594059,"5%",38.55421687
"46",7.128712871,"5%",43.37349398
"47",7.821782178,"5%",51.40562249
"48",8.762376238,"5%",58.63453815
"49",10,"5%",67.06827309
"50",11.13861386,"5%",70.68273092
"51",11.88118812,"5%",71.8875502
"52",13.11881188,"5%",73.09236948
"53",14.20792079,"5%",75.10040161
"54",14.75247525,"5%",77.91164659
"55",15.94059406,"5%",77.91164659
"56",17.07920792,"5%",77.10843373
"57",18.01980198,"5%",77.91164659
"58",-0.04950495,"15%",0
"59",0.891089109,"15%",0.803212851
"60",1.881188119,"15%",0.803212851
"61",3.01980198,"15%",4.016064257
"62",4.108910891,"15%",8.032128514
"63",5.099009901,"15%",14.85943775
"64",5.940594059,"15%",22.89156627
"65",7.128712871,"15%",36.94779116
"66",7.821782178,"15%",51.00401606
"67",8.762376238,"15%",58.23293173
"68",10,"15%",64.65863454
"69",11.13861386,"15%",64.25702811
"70",11.88118812,"15%",63.85542169
"71",13.11881188,"15%",65.06024096
"72",14.20792079,"15%",65.86345382
"73",14.75247525,"15%",65.46184739
"74",15.94059406,"15%",65.46184739
"75",17.07920792,"15%",64.25702811
"76",18.01980198,"15%",64.25702811
