continent,2007,2008,2009,2010,2011,2012,2013
Germany,2428500,2473800,2374500,2476800,2570000,2626427.9,2705181.1
United Kingdom,2054237.7,1800710.8,1564467.9,1706301.9,1747315.6,1862190.7,1931407.6
France,1886792.1,1933195,1889231,1932801.5,1987699.4,2027969.8,2092928.4
Italy,1554198.9,1575143.9,1526790.4,1556028.6,1586209,1617154.7,1660133.6
Spain,1053161,1087749,1047831,1051342,1074940.5,1094290,1123495.9
Netherlands,571773,594481,571145,588414,607435.2,622714,639563.6
Sweden,337944.2,333255.7,291347,346536.4,386201.6,396188.4,409582.5
Austria,274019.8,282746,274818.2,286197.3,300891.3,310133.3,322190.4
Denmark,227533.9,235133,223985.3,235608.6,241148.1,249122.9,258155.3
Portugal,169319.2,171983.1,168503.6,172571.2,171632.4,168286.4,172647.7
Hungary,99430.5,105545.1,91402.5,97094.8,99285.5,95398.7,100059.5
Slovakia,54810.8,64500.1,62895.5,65887.4,69944.5,71614,75123.1
Lithuania,28738.8,32461.7,26654.4,27607.5,30806.9,32781.8,34545.2
Malta,5434.3,5814.6,5812.7,6154.2,6440,6690,7008.3
