x,y,z
14,11,132
12,11,154
13,10,158
10,12,132
12,12,121
10,14,106
14,13,95
14,12,132
13,12,128
17,13,124
10,13,110
14,13,116
17,14,128
15,13,110
15,13,94
17,12,145
9,12,152
15,12,117
18,10,147
13,11,110
14,12,165
15,13,139
12,12,122
13,13,128
10,14,95
11,13,102
16,15,112
10,15,100
11,15,108
13,14,110
12,14,106
16,15,128
17,15,165
10,14,161
14,14,113
15,15,110
14,15,117
17,15,110
12,14,110
18,15,110
15,14,158
15,15,112
10,15,158
14,15,110
12,15,121
12,14,124
15,14,128
13,15,165
10,15,110
13,15,110
14,15,102
12,16,145
12,16,110
16,16,52
15,16,102
13,17,169
14,16,95
14,16,110
16,16,73
17,16,121
13,16,88
15,16,77
21,16,106
15,16,73
12,16,110
14,15,52
15,16,80
17,16,110
14,16,110
16,16,106
12,15,110
21,16,104
16,16,111
8,16,97
14,17,110
15,16,110
22,16,124
14,16,139
13,16,106
11,18,102
13,18,95
11,18,73
15,18,64
14,17,73
12,17,124
18,19,62
13,19,80
16,19,88
16,19,66
21,18,132
13,17,124
23,17,139
16,19,94
13,18,82
15,18,95
19,19,99
12,17,91
10,19,71
13,17,80
20,18,57
13,17,109
22,18,80
19,19,102
21,18,77
13,18,73
22,17,132
17,17,77
9,18,110
13,18,102
18,18,113
20,18,101
12,19,102
17,18,110
16,17,80
15,18,88
15,19,64
16,19,73
12,19,110
17,20,79
17,20,91
13,19,106
21,19,71
23,19,69
17,20,62
15,19,73
13,20,80
12,19,121
22,19,73
17,20,66
14,19,69
16,19,77
13,19,77
23,20,66
13,20,64
13,20,77
11,19,69
13,19,80
15,20,73
18,20,66
16,19,106
14,19,73
15,20,82
16,21,77
16,20,62
18,21,66
18,21,73
13,20,73
16,20,64
15,20,75
21,21,80
15,20,66
20,20,71
17,21,62
13,21,102
16,21,73
14,20,64
14,20,80
15,20,69
19,21,62
13,20,74
15,20,66
15,20,64
18,20,102
13,20,62
16,21,80
14,21,66
15,20,80
15,21,89
14,21,80
19,21,77
17,20,72
16,21,63
17,22,84
13,22,55
18,21,73
13,23,61
14,21,52
15,22,77
12,23,66
16,21,63
19,23,82
19,23,63
14,22,71
17,21,78
14,21,69
15,21,84
16,22,69
18,23,39
15,22,64
15,22,80
13,22,73
17,23,64
19,23,57
13,23,52
14,21,72
24,23,69
14,23,77
12,23,71
14,21,63
13,23,69
18,22,80
15,23,69
22,21,69
14,22,80
17,24,84
16,24,80
24,23,80
17,23,66
18,23,71
23,24,71
16,24,66
14,23,66
15,23,55
19,23,67
10,24,67
13,23,88
14,24,62
18,24,70
16,23,80
17,23,91
22,23,71
19,23,73
15,23,59
14,24,69
15,24,64
18,24,55
17,24,55
15,24,69
12,26,58
16,25,51
16,24,59
14,24,69
21,26,64
12,26,84
18,25,52
17,26,61
14,25,67
21,25,66
14,24,64
19,25,33
16,24,69
18,26,66
13,25,33
19,26,49
22,24,58
21,25,70
13,24,44
10,25,50
18,25,58
11,25,83
15,26,55
12,25,64
21,25,65
15,25,55
16,26,57
15,25,67
15,24,85
19,25,68
17,24,63
17,24,56
17,27,66
16,27,58
11,28,67
12,28,55
18,28,66
17,27,61
16,28,66
16,27,64
16,27,44
16,27,64
16,27,61
19,29,84
19,28,55
21,27,77
14,27,63
20,26,71
17,27,64
19,28,58
16,29,66
17,29,61
11,27,52
23,28,58
15,28,69
17,27,52
14,26,66
25,28,64
14,29,77
15,26,63
14,28,58
15,29,55
16,29,61
14,29,45
13,30,55
14,29,55
15,29,51
17,30,66
17,30,47
15,29,49
19,30,51
14,30,52
12,29,57
21,30,49
17,29,58
12,29,61
15,29,38
16,30,49
22,30,62
16,29,36
17,29,51
10,30,49
14,33,70
13,32,49
16,31,47
22,31,49
18,31,46
14,32,55
17,34,54
14,31,49
19,33,52
16,31,57
19,33,49
21,31,55
12,31,49
20,33,52
12,33,51
16,34,44
19,33,55
19,31,38
22,33,49
18,31,60
17,32,47
23,33,51
22,34,55
16,36,66
13,34,47
14,35,38
17,35,54
12,35,38
15,36,49
19,35,52
