mph,Gas_Mileage,Power,Weight,Engine_Displacement
23,19,69,821,3687.7
13,17,80,1287,4261.4
13,22,55,1535,1983.2
22,34,55,1037,1770.1
14,29,55,1082,1589.8
19,26,49,1285,1294.8
11,27,52,1246,2311
16,15,128,1655,6556
18,15,110,2121,5212
15,13,139,1680,6556
17,27,66,1124,2474.9
17,29,58,1187,1819.3
18,21,73,739,3687.7
10,14,161,1597,7441
20,20,71,883,1147.3
23,17,139,1675,6556
12,29,57,1036,1589.8
19,21,77,1457,3786.1
12,33,51,1005,1393.1
12,29,61,923,2212.6
13,17,124,1251,5736.5
18,21,73,1389,3802.5
17,20,79,1138,2556.8
15,22,80,1099,1983.2
19,33,52,1228,1753.7
12,19,102,1867,5212
12,19,121,1587,3786.1
16,24,69,970,1704.6
16,21,80,935,3687.7
16,30,49,902,1606.2
14,14,113,2152,5736.5
10,14,106,1417,5736.5
18,28,66,843,1901.2
14,35,38,1173,1491.5
13,19,106,1435,4998.9
16,27,61,1498,2474.9
15,24,69,1339,1852.1
13,20,74,1347,2130.7
17,26,61,987,2212.6
15,16,102,1352,4949.8
16,20,64,1979,1589.8
13,10,158,1531,5900.4
19,19,99,1505,5212
14,21,66,1432,3802.5
16,31,57,1509,1589.8
11,19,69,1387,4228.6
16,27,44,1613,1589.8
17,16,110,1487,6556
17,12,145,1426,7031.3
16,19,106,1052,4998.9
