"","country","country_code","age","gender","year","pop","ageno"
"85","World",900,"0-4","male","2050",358.052777,0.5
"86","World",900,"5-9","male","2050",354.951376,1.5
"87","World",900,"10-14","male","2050",350.183415,2.5
"88","World",900,"15-19","male","2050",344.153582,3.5
"89","World",900,"20-24","male","2050",338.880369,4.5
"90","World",900,"25-29","male","2050",337.221732,5.5
"91","World",900,"30-34","male","2050",337.12117,6.5
"92","World",900,"35-39","male","2050",330.049172,7.5
"93","World",900,"40-44","male","2050",312.093117,8.5
"94","World",900,"45-49","male","2050",293.041474,9.5
"95","World",900,"50-54","male","2050",278.588953,10.5
"96","World",900,"55-59","male","2050",276.053845,11.5
"97","World",900,"60-64","male","2050",264.278279,12.5
"98","World",900,"65-69","male","2050",218.512137,13.5
"99","World",900,"70-74","male","2050",174.505754,14.5
"100","World",900,"75-79","male","2050",142.608369,15.5
"101","World",900,"80-84","male","2050",99.676971,16.5
"102","World",900,"85-89","male","2050",54.662793,17.5
"103","World",900,"90-94","male","2050",21.79687,18.5
"104","World",900,"95-99","male","2050",6.058483,19.5
"105","World",900,"100+","male","2050",0.956388,20.5
"106","World",900,"0-4","female","2050",340.250999,0.5
"107","World",900,"5-9","female","2050",337.213816,1.5
"108","World",900,"10-14","female","2050",332.240233,2.5
"109","World",900,"15-19","female","2050",326.149733,3.5
"110","World",900,"20-24","female","2050",321.065326,4.5
"111","World",900,"25-29","female","2050",319.221278,5.5
"112","World",900,"30-34","female","2050",318.828949,6.5
"113","World",900,"35-39","female","2050",312.172752,7.5
"114","World",900,"40-44","female","2050",295.988462,8.5
"115","World",900,"45-49","female","2050",279.533985,9.5
"116","World",900,"50-54","female","2050",268.551483,10.5
"117","World",900,"55-59","female","2050",271.573703,11.5
"118","World",900,"60-64","female","2050",268.66263,12.5
"119","World",900,"65-69","female","2050",231.775735,13.5
"120","World",900,"70-74","female","2050",192.701747,14.5
"121","World",900,"75-79","female","2050",164.479622,15.5
"122","World",900,"80-84","female","2050",123.814262,16.5
"123","World",900,"85-89","female","2050",76.080353,17.5
"124","World",900,"90-94","female","2050",35.981847,18.5
"125","World",900,"95-99","female","2050",12.694477,19.5
"126","World",900,"100+","female","2050",2.719576,20.5
